位置X：-30.82057,  位置Y：0.08333337,  位置Z：-14.58808,  身体角度：0.04343759,  头部角度：270.5486
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-11.13256,  身体角度：179.8206,  头部角度：270.6334
位置X：-30.14855,  位置Y：0.08333337,  位置Z：-11.44954,  身体角度：179.9493,  头部角度：270.6343
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-11.06274,  身体角度：179.9493,  头部角度：270.6355
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-11.06274,  身体角度：179.9493,  头部角度：270.6364
位置X：-30.16986,  位置Y：0.08333337,  位置Z：-11.35058,  身体角度：179.8594,  头部角度：270.6392
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.96464,  身体角度：179.8594,  头部角度：270.6401
位置X：-30.14606,  位置Y：0.08333337,  位置Z：-11.26396,  身体角度：179.8773,  头部角度：270.6413
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.87965,  身体角度：179.8773,  头部角度：270.6416
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.87965,  身体角度：179.8773,  头部角度：270.6432
位置X：-30.16025,  位置Y：0.08333337,  位置Z：-11.18325,  身体角度：179.91,  头部角度：270.6453
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.79716,  身体角度：179.91,  头部角度：270.6456
位置X：-30.15084,  位置Y：0.08333337,  位置Z：-11.11653,  身体角度：179.9387,  头部角度：270.6465
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.72963,  身体角度：179.9387,  头部角度：270.6471
位置X：-30.1424,  位置Y：0.08333337,  位置Z：-11.01122,  身体角度：179.8927,  头部角度：270.6486
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.62653,  身体角度：179.8927,  头部角度：270.648
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.62653,  身体角度：179.8927,  头部角度：270.6483
位置X：-30.16963,  位置Y：0.08333337,  位置Z：-10.93114,  身体角度：179.8572,  头部角度：270.6483
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.54438,  身体角度：179.8572,  头部角度：270.6483
位置X：-30.14454,  位置Y：0.08333337,  位置Z：-10.84368,  身体角度：179.8567,  头部角度：270.6483
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.45814,  身体角度：179.8567,  头部角度：270.6486
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.45814,  身体角度：179.8567,  头部角度：270.6489
位置X：-30.14185,  位置Y：0.08333337,  位置Z：-10.77485,  身体角度：179.9193,  头部角度：270.648
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.38949,  身体角度：179.9193,  头部角度：270.6471
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.38949,  身体角度：179.9193,  头部角度：270.6468
位置X：-30.14896,  位置Y：0.08333337,  位置Z：-10.68307,  身体角度：179.6546,  头部角度：270.6447
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.29516,  身体角度：179.6546,  头部角度：270.6435
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.29516,  身体角度：179.6546,  头部角度：270.6429
位置X：-30.17344,  位置Y：0.08333337,  位置Z：-10.61959,  身体角度：179.7819,  头部角度：270.6416
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.23495,  身体角度：179.7819,  头部角度：270.6401
位置X：-30.14303,  位置Y：0.08333337,  位置Z：-10.54227,  身体角度：179.9076,  头部角度：270.6389
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.15737,  身体角度：179.9076,  头部角度：270.6374
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.15737,  身体角度：179.9076,  头部角度：270.6355
位置X：-30.1505,  位置Y：0.08333337,  位置Z：-10.48595,  身体角度：180.0155,  头部角度：270.6346
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.09753,  身体角度：180.0155,  头部角度：270.6337
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.09753,  身体角度：180.0155,  头部角度：270.6306
位置X：-30.19714,  位置Y：0.08333337,  位置Z：-10.37923,  身体角度：179.867,  头部角度：270.6296
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-10.00676,  身体角度：179.867,  头部角度：270.6274
位置X：-30.14298,  位置Y：0.08333337,  位置Z：-10.29986,  身体角度：179.8504,  头部角度：270.6249
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.917007,  身体角度：179.8504,  头部角度：270.6224
位置X：-30.16812,  位置Y：0.08333337,  位置Z：-10.20112,  身体角度：179.6132,  头部角度：270.6208
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.813211,  身体角度：179.6132,  头部角度：270.6161
位置X：-30.1608,  位置Y：0.08333337,  位置Z：-10.11991,  身体角度：179.488,  头部角度：270.6142
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.729301,  身体角度：179.488,  头部角度：270.611
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.729301,  身体角度：179.488,  头部角度：270.6097
位置X：-30.15446,  位置Y：0.08333337,  位置Z：-10.05253,  身体角度：179.3205,  头部角度：270.6075
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.66568,  身体角度：179.3205,  头部角度：270.6052
位置X：-30.17044,  位置Y：0.08333337,  位置Z：-9.959732,  身体角度：179.5363,  头部角度：270.6026
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.569653,  身体角度：179.5363,  头部角度：270.6
位置X：-30.14211,  位置Y：0.08333337,  位置Z：-9.884512,  身体角度：179.9417,  头部角度：270.5994
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.495987,  身体角度：179.9417,  头部角度：270.5948
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.495987,  身体角度：179.9417,  头部角度：270.5935
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.495987,  身体角度：179.9417,  头部角度：270.5925
位置X：-30.16745,  位置Y：0.08333337,  位置Z：-9.826735,  身体角度：179.9333,  头部角度：270.5908
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.441351,  身体角度：179.9333,  头部角度：270.5888
位置X：-30.17066,  位置Y：0.08333337,  位置Z：-9.721224,  身体角度：179.9169,  头部角度：270.5848
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.3372,  身体角度：179.9169,  头部角度：270.5842
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.3372,  身体角度：179.9169,  头部角度：270.5811
位置X：-30.1749,  位置Y：0.08333337,  位置Z：-9.657734,  身体角度：179.9108,  头部角度：270.5801
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.271276,  身体角度：179.9108,  头部角度：270.5771
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.271276,  身体角度：179.9108,  头部角度：270.5754
位置X：-30.18946,  位置Y：0.08333337,  位置Z：-9.589718,  身体角度：179.7185,  头部角度：270.5733
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.210138,  身体角度：179.7185,  头部角度：270.572
位置X：-30.19588,  位置Y：0.08333337,  位置Z：-9.491905,  身体角度：179.7097,  头部角度：270.5696
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.11515,  身体角度：179.7097,  头部角度：270.5679
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-9.11515,  身体角度：179.7097,  头部角度：270.5672
位置X：-30.16623,  位置Y：0.08333337,  位置Z：-9.442715,  身体角度：179.5271,  头部角度：270.5651
位置X：-30.19333,  位置Y：0.08333337,  位置Z：-9.357914,  身体角度：179.1597,  头部角度：270.5637
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.986555,  身体角度：179.1597,  头部角度：270.5595
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.986555,  身体角度：179.1597,  头部角度：270.5581
位置X：-30.16249,  位置Y：0.08333337,  位置Z：-9.318283,  身体角度：179.1264,  头部角度：270.556
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.927681,  身体角度：179.1264,  头部角度：270.5553
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.927681,  身体角度：179.1264,  头部角度：270.5539
位置X：-30.1798,  位置Y：0.08333337,  位置Z：-9.251787,  身体角度：179.744,  头部角度：270.5536
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.868658,  身体角度：179.744,  头部角度：270.5529
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.868658,  身体角度：179.744,  头部角度：270.5518
位置X：-30.17801,  位置Y：0.08333337,  位置Z：-9.186909,  身体角度：179.8639,  头部角度：270.5514
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.804504,  身体角度：179.8639,  头部角度：270.55
位置X：-30.18513,  位置Y：0.08333337,  位置Z：-9.101021,  身体角度：179.6197,  头部角度：270.5497
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.724726,  身体角度：179.6197,  头部角度：270.55
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.724726,  身体角度：179.6197,  头部角度：270.5497
位置X：-30.16373,  位置Y：0.08333337,  位置Z：-9.027168,  身体角度：179.4669,  头部角度：270.549
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.637394,  身体角度：179.4669,  头部角度：270.549
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.637394,  身体角度：179.4669,  头部角度：270.549
位置X：-30.19021,  位置Y：0.08333337,  位置Z：-8.951824,  身体角度：179.1722,  头部角度：270.5497
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.578175,  身体角度：179.1722,  头部角度：270.5504
位置X：-30.16872,  位置Y：0.08333337,  位置Z：-8.849804,  身体角度：179.0559,  头部角度：270.5511
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.462521,  身体角度：179.0559,  头部角度：270.5511
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.462521,  身体角度：179.0559,  头部角度：270.5518
位置X：-30.15894,  位置Y：0.08333337,  位置Z：-8.778046,  身体角度：179.0191,  头部角度：270.5539
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.389421,  身体角度：179.0191,  头部角度：270.5532
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.389421,  身体角度：179.0191,  头部角度：270.556
位置X：-30.18566,  位置Y：0.08333337,  位置Z：-8.707581,  身体角度：179.5461,  头部角度：270.5574
位置X：-30.18184,  位置Y：0.08333337,  位置Z：-8.648766,  身体角度：179.7265,  头部角度：270.5588
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.271626,  身体角度：179.7265,  头部角度：270.5627
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.271626,  身体角度：179.7265,  头部角度：270.5641
位置X：-30.18326,  位置Y：0.08333337,  位置Z：-8.587559,  身体角度：179.7444,  头部角度：270.5658
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.211895,  身体角度：179.7444,  头部角度：270.5672
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.211895,  身体角度：179.7444,  头部角度：270.5699
位置X：-30.17942,  位置Y：0.08333337,  位置Z：-8.530449,  身体角度：179.7108,  头部角度：270.572
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.154812,  身体角度：179.7108,  头部角度：270.5733
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.154812,  身体角度：179.7108,  头部角度：270.5747
位置X：-30.18468,  位置Y：0.08333337,  位置Z：-8.439983,  身体角度：179.6947,  头部角度：270.5774
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.068432,  身体角度：179.6947,  头部角度：270.5795
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.068432,  身体角度：179.6947,  头部角度：270.5808
位置X：-30.17632,  位置Y：0.08333337,  位置Z：-8.385593,  身体角度：179.7496,  头部角度：270.5822
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.005295,  身体角度：179.7496,  头部角度：270.5835
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-8.005295,  身体角度：179.7496,  头部角度：270.5862
位置X：-30.18623,  位置Y：0.08333337,  位置Z：-8.322731,  身体角度：179.4542,  头部角度：270.5888
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.950039,  身体角度：179.4542,  头部角度：270.5908
位置X：-30.15718,  位置Y：0.08333337,  位置Z：-8.267815,  身体角度：179.7032,  头部角度：270.5922
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.874271,  身体角度：179.7032,  头部角度：270.5941
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.874271,  身体角度：179.7032,  头部角度：270.5974
位置X：-30.17842,  位置Y：0.08333337,  位置Z：-8.192688,  身体角度：179.7222,  头部角度：270.5994
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.813232,  身体角度：179.7222,  头部角度：270.6
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.813232,  身体角度：179.7222,  头部角度：270.6026
位置X：-30.17728,  位置Y：0.08333337,  位置Z：-8.109648,  身体角度：179.8911,  头部角度：270.6052
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.724606,  身体角度：179.8911,  头部角度：270.6068
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.724606,  身体角度：179.8911,  头部角度：270.6085
位置X：-30.13947,  位置Y：0.08333337,  位置Z：-8.051048,  身体角度：180.3631,  头部角度：270.6104
位置X：-30.16581,  位置Y：0.08333337,  位置Z：-7.893421,  身体角度：180.0364,  头部角度：270.6148
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.504995,  身体角度：180.0364,  头部角度：270.618
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.504995,  身体角度：180.0364,  头部角度：270.6193
位置X：-30.17014,  位置Y：0.08333337,  位置Z：-7.815508,  身体角度：179.9245,  头部角度：270.6215
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.427103,  身体角度：179.9245,  头部角度：270.6231
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.427103,  身体角度：179.9245,  头部角度：270.6249
位置X：-30.14385,  位置Y：0.08333337,  位置Z：-7.750324,  身体角度：179.8127,  头部角度：270.6262
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.365456,  身体角度：179.8127,  头部角度：270.629
位置X：-30.17182,  位置Y：0.08333337,  位置Z：-7.672047,  身体角度：179.652,  头部角度：270.6306
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.285198,  身体角度：179.652,  头部角度：270.6324
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.285198,  身体角度：179.652,  头部角度：270.6349
位置X：-30.14562,  位置Y：0.08333337,  位置Z：-7.614084,  身体角度：179.8631,  头部角度：270.6355
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.229824,  身体角度：179.8631,  头部角度：270.6361
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.229824,  身体角度：179.8631,  头部角度：270.6386
位置X：-30.14037,  位置Y：0.08333337,  位置Z：-7.558157,  身体角度：179.8561,  头部角度：270.6398
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.171621,  身体角度：179.8561,  头部角度：270.6407
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.171621,  身体角度：179.8561,  头部角度：270.6429
位置X：-30.16847,  位置Y：0.08333337,  位置Z：-7.488386,  身体角度：179.6469,  头部角度：270.6438
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.101135,  身体角度：179.6469,  头部角度：270.6447
位置X：-30.14366,  位置Y：0.08333337,  位置Z：-7.41213,  身体角度：179.7757,  头部角度：270.6453
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-7.030605,  身体角度：179.7757,  头部角度：270.6471
位置X：-30.13983,  位置Y：0.08333337,  位置Z：-7.347004,  身体角度：179.8294,  头部角度：270.6471
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.962187,  身体角度：179.8294,  头部角度：270.648
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.962187,  身体角度：179.8294,  头部角度：270.6474
位置X：-30.17416,  位置Y：0.08333337,  位置Z：-7.286953,  身体角度：179.7746,  头部角度：270.6483
位置X：-30.14433,  位置Y：0.08333337,  位置Z：-7.196026,  身体角度：179.8273,  头部角度：270.6483
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.812639,  身体角度：179.8273,  头部角度：270.6492
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.812639,  身体角度：179.8273,  头部角度：270.6483
位置X：-30.14669,  位置Y：0.08333337,  位置Z：-7.110451,  身体角度：179.8707,  头部角度：270.6477
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.727081,  身体角度：179.8707,  头部角度：270.6483
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.727081,  身体角度：179.8707,  头部角度：270.6471
位置X：-30.13961,  位置Y：0.08333337,  位置Z：-7.04982,  身体角度：179.8661,  头部角度：270.6459
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.667789,  身体角度：179.8661,  头部角度：270.6462
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.667789,  身体角度：179.8661,  头部角度：270.6444
位置X：-30.158,  位置Y：0.08333337,  位置Z：-6.995716,  身体角度：179.6612,  头部角度：270.6438
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.607775,  身体角度：179.6612,  头部角度：270.6429
位置X：-30.1439,  位置Y：0.08333337,  位置Z：-6.909752,  身体角度：179.8142,  头部角度：270.6404
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.524841,  身体角度：179.8142,  头部角度：270.641
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.524841,  身体角度：179.8142,  头部角度：270.6398
位置X：-30.16177,  位置Y：0.08333337,  位置Z：-6.828167,  身体角度：179.6229,  头部角度：270.638
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.439285,  身体角度：179.6229,  头部角度：270.6367
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.439285,  身体角度：179.6229,  头部角度：270.6349
位置X：-30.14708,  位置Y：0.08333337,  位置Z：-6.76506,  身体角度：179.5698,  头部角度：270.6337
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.377346,  身体角度：179.5698,  头部角度：270.6312
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.377346,  身体角度：179.5698,  头部角度：270.6293
位置X：-30.17675,  位置Y：0.08333337,  位置Z：-6.700266,  身体角度：179.9712,  头部角度：270.6287
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.312685,  身体角度：179.9712,  头部角度：270.6262
位置X：-30.15014,  位置Y：0.08333337,  位置Z：-6.626474,  身体角度：179.8792,  头部角度：270.624
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.243376,  身体角度：179.8792,  头部角度：270.6215
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.243376,  身体角度：179.8792,  头部角度：270.6199
位置X：-30.14873,  位置Y：0.08333337,  位置Z：-6.558342,  身体角度：179.9497,  头部角度：270.6174
位置X：-30.15186,  位置Y：0.08333337,  位置Z：-6.400749,  身体角度：179.679,  头部角度：270.6142
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-6.01428,  身体角度：179.679,  头部角度：270.6113
位置X：-30.17284,  位置Y：0.08333337,  位置Z：-6.32658,  身体角度：179.8261,  头部角度：270.6091
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.940609,  身体角度：179.8261,  头部角度：270.6072
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.940609,  身体角度：179.8261,  头部角度：270.6039
位置X：-30.14978,  位置Y：0.08333337,  位置Z：-6.265789,  身体角度：179.583,  头部角度：270.6033
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.878025,  身体角度：179.583,  头部角度：270.6007
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.878025,  身体角度：179.583,  头部角度：270.5987
位置X：-30.13841,  位置Y：0.08333337,  位置Z：-6.189936,  身体角度：179.7915,  头部角度：270.5974
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.803501,  身体角度：179.7915,  头部角度：270.5951
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.803501,  身体角度：179.7915,  头部角度：270.5922
位置X：-30.1717,  位置Y：0.08333337,  位置Z：-6.103405,  身体角度：179.8545,  头部角度：270.5895
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.715717,  身体角度：179.8545,  头部角度：270.5882
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.715717,  身体角度：179.8545,  头部角度：270.5858
位置X：-30.14641,  位置Y：0.08333337,  位置Z：-6.042786,  身体角度：179.7958,  头部角度：270.5848
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.659706,  身体角度：179.7958,  头部角度：270.5828
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.659706,  身体角度：179.7958,  头部角度：270.5811
位置X：-30.14434,  位置Y：0.08333337,  位置Z：-5.981144,  身体角度：179.9072,  头部角度：270.5798
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.595934,  身体角度：179.9072,  头部角度：270.5781
位置X：-30.16952,  位置Y：0.08333337,  位置Z：-5.904701,  身体角度：179.8464,  头部角度：270.5761
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.519194,  身体角度：179.8464,  头部角度：270.574
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.519194,  身体角度：179.8464,  头部角度：270.5713
位置X：-30.14451,  位置Y：0.08333337,  位置Z：-5.842239,  身体角度：179.8984,  头部角度：270.571
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.456619,  身体角度：179.8984,  头部角度：270.5685
位置X：-30.15871,  位置Y：0.08333337,  位置Z：-5.779526,  身体角度：180.0077,  头部角度：270.5672
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.391439,  身体角度：180.0077,  头部角度：270.5627
位置X：-30.14341,  位置Y：0.08333337,  位置Z：-5.678616,  身体角度：179.8064,  头部角度：270.5609
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.291664,  身体角度：179.8064,  头部角度：270.5602
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.291664,  身体角度：179.8064,  头部角度：270.5595
位置X：-30.17231,  位置Y：0.08333337,  位置Z：-5.618994,  身体角度：179.8457,  头部角度：270.5574
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.232332,  身体角度：179.8457,  头部角度：270.556
位置X：-30.1622,  位置Y：0.08333337,  位置Z：-5.537775,  身体角度：179.6344,  头部角度：270.5553
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.148682,  身体角度：179.6344,  头部角度：270.5532
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.148682,  身体角度：179.6344,  头部角度：270.5529
位置X：-30.16993,  位置Y：0.08333337,  位置Z：-5.449184,  身体角度：179.5963,  头部角度：270.5518
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-5.059174,  身体角度：179.5963,  头部角度：270.5525
位置X：-30.15941,  位置Y：0.08333337,  位置Z：-5.367958,  身体角度：179.4591,  头部角度：270.5504
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.978024,  身体角度：179.4591,  头部角度：270.5511
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.978024,  身体角度：179.4591,  头部角度：270.5504
位置X：-30.15949,  位置Y：0.08333337,  位置Z：-5.304173,  身体角度：179.3082,  头部角度：270.5504
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.916828,  身体角度：179.3082,  头部角度：270.5504
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.916828,  身体角度：179.3082,  头部角度：270.5504
位置X：-30.17893,  位置Y：0.08333337,  位置Z：-5.235861,  身体角度：179.6863,  头部角度：270.5504
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.853115,  身体角度：179.6863,  头部角度：270.5504
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.853115,  身体角度：179.6863,  头部角度：270.5507
位置X：-30.17164,  位置Y：0.08333337,  位置Z：-5.18313,  身体角度：179.4732,  头部角度：270.5514
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.795094,  身体角度：179.4732,  头部角度：270.5521
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.795094,  身体角度：179.4732,  头部角度：270.5543
位置X：-30.16366,  位置Y：0.08333337,  位置Z：-5.129047,  身体角度：179.3785,  头部角度：270.5546
位置X：-30.19458,  位置Y：0.08333337,  位置Z：-5.045834,  身体角度：179.0866,  头部角度：270.5553
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.674561,  身体角度：179.0866,  头部角度：270.5585
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.674561,  身体角度：179.0866,  头部角度：270.5609
位置X：-30.14685,  位置Y：0.08333337,  位置Z：-5.01153,  身体角度：179.116,  头部角度：270.5627
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.619469,  身体角度：179.116,  头部角度：270.5637
位置X：-30.18065,  位置Y：0.08333337,  位置Z：-4.916756,  身体角度：179.7284,  头部角度：270.5658
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.53772,  身体角度：179.7284,  头部角度：270.5672
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.53772,  身体角度：179.7284,  头部角度：270.5689
位置X：-30.18315,  位置Y：0.08333337,  位置Z：-4.845186,  身体角度：179.8465,  头部角度：270.572
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.466084,  身体角度：179.8465,  头部角度：270.5727
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.466084,  身体角度：179.8465,  头部角度：270.574
位置X：-30.17463,  位置Y：0.08333337,  位置Z：-4.757551,  身体角度：179.8971,  头部角度：270.5778
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.371267,  身体角度：179.8971,  头部角度：270.5795
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.371267,  身体角度：179.8971,  头部角度：270.5811
位置X：-30.18138,  位置Y：0.08333337,  位置Z：-4.693457,  身体角度：179.8826,  头部角度：270.5822
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.311335,  身体角度：179.8826,  头部角度：270.5845
位置X：-30.17276,  位置Y：0.08333337,  位置Z：-4.625412,  身体角度：179.8865,  头部角度：270.5869
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.236185,  身体角度：179.8865,  头部角度：270.5888
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.236185,  身体角度：179.8865,  头部角度：270.5908
位置X：-30.16816,  位置Y：0.08333337,  位置Z：-4.538866,  身体角度：179.5989,  头部角度：270.5928
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.152775,  身体角度：179.5989,  头部角度：270.5955
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.152775,  身体角度：179.5989,  头部角度：270.5971
位置X：-30.1686,  位置Y：0.08333337,  位置Z：-4.467438,  身体角度：179.3714,  头部角度：270.5994
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-4.081261,  身体角度：179.3714,  头部角度：270.601
位置X：-30.15869,  位置Y：0.08333337,  位置Z：-4.35146,  身体角度：179.2766,  头部角度：270.6052
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-3.96242,  身体角度：179.2766,  头部角度：270.6091
位置X：-30.18369,  位置Y：0.08333337,  位置Z：-4.280703,  身体角度：179.8691,  头部角度：270.611
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-3.896479,  身体角度：179.8691,  头部角度：270.6136
位置X：-30.18059,  位置Y：0.08333337,  位置Z：-4.219723,  身体角度：179.5621,  头部角度：270.6148
位置X：-30.1624,  位置Y：0.08333337,  位置Z：-3.832096,  身体角度：179.5621,  头部角度：270.6174
